DATE,CUSR0000SEHF02
1975-10-01,33.0333333333333333
1976-01-01,34.5333333333333333
1976-04-01,35.4000000000000000
1976-07-01,36.6666666666666667
1976-10-01,38.6333333333333333
1977-01-01,41.8333333333333333
1977-04-01,42.7333333333333333
1977-07-01,43.5666666666666667
1977-10-01,44.7000000000000000
1978-01-01,45.5333333333333333
1978-04-01,46.9666666666666667
1978-07-01,47.8333333333333333
1978-10-01,49.5666666666666667
1979-01-01,51.8666666666666667
1979-04-01,52.9000000000000000
1979-07-01,56.2000000000000000
1979-10-01,59.4666666666666667
1980-01-01,61.8666666666666667
1980-04-01,64.6333333333333333
1980-07-01,67.4333333333333333
1980-10-01,68.8666666666666667
1981-01-01,71.1333333333333333
1981-04-01,73.9333333333333333
1981-07-01,75.7333333333333333
1981-10-01,78.7000000000000000
1982-01-01,82.6666666666666667
1982-04-01,87.3000000000000000
1982-07-01,90.6000000000000000
1982-10-01,98.4333333333333333
1983-01-01,102.9333333333333333
1983-04-01,105.5333333333333333
1983-07-01,105.6666666666666667
1983-10-01,104.8333333333333333
1984-01-01,104.6666666666666667
1984-04-01,104.7000000000000000
1984-07-01,105.9666666666666667
1984-10-01,106.6666666666666667
1985-01-01,105.9666666666666667
1985-04-01,105.7333333333333333
1985-07-01,104.9333333333333333
1985-10-01,102.5666666666666667
1986-01-01,101.6000000000000000
1986-04-01,101.0333333333333333
1986-07-01,99.2000000000000000
1986-10-01,96.9333333333333333
1987-01-01,95.8333333333333333
1987-04-01,95.8000000000000000
1987-07-01,95.1333333333333333
1987-10-01,93.8333333333333333
1988-01-01,93.0000000000000000
1988-04-01,93.9333333333333333
1988-07-01,95.0666666666666667
1988-10-01,96.2666666666666667
1989-01-01,96.8666666666666667
1989-04-01,96.7333333333333333
1989-07-01,97.4333333333333333
1989-10-01,97.6333333333333333
1990-01-01,98.2333333333333333
1990-04-01,96.2333333333333333
1990-07-01,96.7333333333333333
1990-10-01,98.0333333333333333
1991-01-01,99.3000000000000000
1991-04-01,97.7333333333333333
1991-07-01,97.9000000000000000
1991-10-01,99.1666666666666667
1992-01-01,98.1666666666666667
1992-04-01,98.7666666666666667
1992-07-01,100.6666666666666667
1992-10-01,103.6666666666666667
1993-01-01,103.3666666666666667
1993-04-01,105.6333333333333333
1993-07-01,108.2000000000000000
1993-10-01,108.7000000000000000
1994-01-01,110.4666666666666667
1994-04-01,109.7666666666666667
1994-07-01,107.9333333333333333
1994-10-01,105.8666666666666667
1995-01-01,105.3000000000000000
1995-04-01,103.6000000000000000
